alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
10.1,84.0,1.025,10.6,2.8,0.08,21.0,3.06,0.57,0.43,0.9985
9.7,30.0,0.38,8.1,2.1,0.066,13.0,3.23,0.73,0.28,0.9968
10.9,14.0,0.47,7.1,2.2,0.067,7.0,3.4,0.58,0.0,0.99517
9.6,20.0,0.95,7.6,2.0,0.09,7.0,3.2,0.56,0.03,0.9959
10.8,28.0,0.3,12.8,2.6,0.095,9.0,3.2,0.77,0.74,0.9994
9.5,16.0,0.49,8.3,1.8,0.222,6.0,3.18,0.6,0.36,0.998
9.6,24.0,0.73,8.1,2.5,0.081,12.0,3.38,0.46,0.0,0.99798
10.2,26.0,0.39,9.3,2.6,0.073,10.0,3.34,0.75,0.4,0.9984
11.3,10.0,0.36,9.0,2.1,0.111,5.0,3.31,0.62,0.52,0.99568
11.1,20.0,0.44,10.2,2.0,0.071,7.0,3.14,0.79,0.42,0.99566
10.2,50.0,0.61,8.3,2.1,0.084,11.0,3.4,0.61,0.3,0.9972
9.2,90.0,0.65,8.4,2.1,0.112,12.0,3.2,0.52,0.6,0.9973
10.8,17.0,0.725,6.6,5.5,0.117,9.0,3.35,0.49,0.09,0.99655
10.3,57.0,0.29,8.9,1.9,0.067,25.0,3.18,1.36,0.35,0.997
9.5,40.0,0.65,8.3,2.9,0.089,17.0,3.29,0.55,0.1,0.99803
10.6,32.0,0.28,11.7,1.7,0.054,17.0,3.15,0.67,0.47,0.99686
11.2,23.0,0.41,7.6,2.5,0.078,6.0,3.3,0.58,0.33,0.9957
9.5,144.0,0.53,7.8,2.4,0.08,24.0,3.3,0.6,0.33,0.99655
9.6,46.0,0.56,7.7,2.5,0.114,14.0,3.24,0.66,0.08,0.9971
10.5,19.0,0.3,11.0,2.1,0.054,7.0,3.31,0.88,0.58,0.998
9.5,96.0,0.67,7.7,2.1,0.088,17.0,3.32,0.48,0.23,0.9962
10.5,42.0,0.5,12.0,1.4,0.073,23.0,2.92,0.68,0.59,0.998
9.4,58.0,0.34,7.8,2.0,0.082,24.0,3.34,0.59,0.37,0.9964
9.6,32.0,0.43,10.7,2.2,0.106,8.0,2.89,0.5,0.39,0.9986
9.9,10.0,0.27,7.7,3.5,0.358,5.0,3.25,1.08,0.68,0.9972
9.7,35.0,0.55,7.0,2.2,0.075,15.0,3.36,0.59,0.13,0.9959
10.6,58.0,0.32,6.1,2.3,0.071,23.0,3.42,0.97,0.25,0.99633
11.1,51.0,0.37,9.5,2.0,0.088,12.0,3.29,0.58,0.52,0.99613
9.6,49.0,0.46,12.5,4.5,0.07,26.0,3.05,0.57,0.49,0.9981
10.7,54.0,0.51,6.0,2.1,0.064,40.0,3.54,0.93,0.0,0.995
9.2,13.0,0.695,7.3,2.5,0.075,3.0,3.49,0.52,0.0,0.998
11.4,8.0,0.32,9.9,2.0,0.073,3.0,3.15,0.73,0.56,0.99534
9.8,54.0,0.76,7.8,2.3,0.092,15.0,3.26,0.65,0.04,0.997
9.2,67.0,0.87,7.8,3.8,0.107,31.0,3.26,0.46,0.26,0.99668
10.4,68.0,0.37,12.5,2.6,0.083,25.0,3.15,0.82,0.55,0.9995
10.2,44.0,0.645,5.9,2.0,0.075,32.0,3.57,0.71,0.12,0.99547
11.0,15.0,0.55,7.3,1.8,0.093,9.0,3.35,0.58,0.01,0.99514
9.3,16.0,0.37,11.3,2.3,0.088,6.0,3.09,0.8,0.41,0.9988
9.7,44.0,0.49,7.5,1.9,0.076,10.0,3.39,0.54,0.19,0.9957
9.5,65.0,0.36,7.6,1.7,0.079,26.0,3.46,0.62,0.31,0.99716
11.2,155.0,0.88,9.8,2.5,0.104,35.0,3.41,0.67,0.25,1.001
9.5,127.0,0.31,7.1,2.2,0.053,36.0,2.94,1.62,0.3,0.9965
10.8,44.0,0.59,7.1,2.2,0.078,26.0,3.42,0.68,0.0,0.99522
11.2,22.0,0.33,10.4,2.8,0.084,5.0,3.26,0.74,0.63,0.9998
9.5,104.0,0.69,7.3,2.2,0.069,35.0,3.33,0.51,0.32,0.99632
11.0,17.0,0.32,7.8,2.7,0.104,8.0,3.33,0.78,0.44,0.99732
9.5,19.0,0.28,10.4,2.7,0.105,5.0,3.25,0.63,0.54,0.9988
9.8,65.0,0.37,9.8,2.5,0.079,28.0,3.16,0.59,0.39,0.99729
10.5,44.0,0.6,6.2,2.0,0.09,32.0,3.45,0.58,0.08,0.9949
11.0,47.0,0.35,8.2,2.4,0.076,11.0,3.27,0.81,0.33,0.99599
9.4,121.0,0.59,7.3,7.2,0.07,35.0,3.37,0.49,0.26,0.9981
9.0,35.0,0.545,8.1,1.9,0.08,13.0,3.3,0.59,0.18,0.9972
10.9,17.0,0.9,6.5,1.6,0.052,9.0,3.5,0.63,0.0,0.99467
9.8,19.0,1.13,5.7,1.5,0.172,7.0,3.5,0.48,0.09,0.994
10.0,52.0,0.43,10.1,2.6,0.092,13.0,3.22,0.64,0.4,0.99834
9.4,142.0,0.4,9.3,2.5,0.085,38.0,3.22,0.55,0.49,0.9978
11.1,37.0,0.33,9.3,1.5,0.057,19.0,3.18,0.89,0.45,0.99498
10.3,58.0,0.43,7.8,2.8,0.08,29.0,3.31,0.64,0.32,0.9974
9.3,19.0,0.665,7.7,2.4,0.09,8.0,3.27,0.73,0.0,0.9974
10.6,46.0,0.28,9.1,1.8,0.067,26.0,3.32,1.04,0.48,0.9967
9.55,12.0,0.685,8.6,1.6,0.092,3.0,3.31,0.65,0.1,0.99745
10.4,8.0,0.61,6.6,1.6,0.069,4.0,3.33,0.37,0.0,0.99396
9.5,84.0,0.755,7.1,1.8,0.107,20.0,3.19,0.5,0.15,0.99593
9.4,18.0,0.52,8.6,1.5,0.096,5.0,3.2,0.52,0.38,0.99666
9.5,96.0,0.63,7.8,1.7,0.1,14.0,3.19,0.62,0.48,0.9961
10.3,28.0,0.22,9.1,2.1,0.078,1.0,3.41,0.87,0.24,0.999
9.6,33.0,0.67,6.9,2.1,0.08,8.0,3.68,0.71,0.06,0.99845
11.3,67.0,0.18,7.9,2.2,0.049,38.0,3.33,0.93,0.4,0.996
9.2,60.0,0.59,7.5,1.8,0.082,43.0,3.1,0.42,0.22,0.99499
10.8,15.0,0.6,7.8,2.4,0.086,3.0,3.42,0.6,0.14,0.9975
12.6,28.0,0.38,8.9,2.2,0.068,12.0,3.27,0.75,0.4,0.99486
10.5,87.0,0.45,7.3,5.9,0.074,12.0,3.33,0.83,0.36,0.9978
10.1,27.0,0.3,11.5,2.0,0.067,12.0,3.11,0.97,0.6,0.9981
9.4,88.0,0.35,10.0,2.5,0.092,20.0,3.15,0.43,0.45,0.99918
9.1,64.0,0.76,9.1,1.7,0.414,18.0,2.9,1.33,0.68,0.99652
9.4,104.0,0.56,8.2,3.4,0.078,14.0,3.28,0.62,0.23,0.9976
11.2,12.0,1.115,7.5,3.1,0.086,5.0,3.54,0.6,0.1,0.9958
12.5,33.0,0.49,6.0,2.3,0.068,15.0,3.58,0.59,0.0,0.99292
10.0,94.0,0.68,5.8,1.8,0.087,21.0,3.54,0.52,0.02,0.9944
9.5,34.0,0.71,8.0,2.6,0.08,11.0,3.44,0.53,0.0,0.9976
9.5,66.0,0.43,7.6,2.1,0.075,19.0,3.4,0.64,0.29,0.99718
12.5,16.0,0.31,8.0,2.1,0.216,5.0,3.15,0.81,0.45,0.99358
10.9,21.0,0.295,9.7,1.5,0.073,14.0,3.14,0.51,0.4,0.99556
10.0,11.0,0.835,7.2,2.0,0.166,4.0,3.39,0.52,0.0,0.99608
11.9,16.0,0.96,6.6,1.8,0.082,5.0,3.5,0.44,0.0,0.9936
12.1,24.0,0.3,8.3,3.8,0.09,11.0,3.27,0.64,0.49,0.99498
9.2,54.0,0.51,7.7,2.1,0.087,23.0,3.42,0.74,0.28,0.998
10.3,53.0,0.4,7.5,3.0,0.092,29.0,3.37,0.7,0.12,0.9967
9.1,119.0,0.59,8.4,2.6,0.109,31.0,3.15,0.5,0.29,0.99801
13.2,11.0,0.38,9.3,3.8,0.132,3.0,3.23,0.57,0.48,0.99577
9.8,26.0,0.5,6.6,1.5,0.06,17.0,3.4,0.58,0.01,0.9952
9.5,15.0,0.46,10.7,2.0,0.061,7.0,3.18,0.62,0.39,0.9981
10.0,31.0,0.71,7.5,1.6,0.092,22.0,3.38,0.58,0.0,0.99635
10.1,82.0,0.675,6.7,2.4,0.089,17.0,3.35,0.54,0.07,0.9958
13.3,24.0,0.39,7.1,2.1,0.065,14.0,3.3,0.53,0.12,0.99252
9.4,75.0,0.34,10.3,2.8,0.159,15.0,3.18,0.64,0.52,0.9998
10.1,80.0,0.75,6.7,2.0,0.086,12.0,3.38,0.52,0.12,0.9958
11.9,10.0,0.38,9.0,2.4,0.103,6.0,3.13,0.58,0.41,0.99604
13.6,38.0,0.36,7.4,1.8,0.075,18.0,3.38,0.88,0.34,0.9933
9.7,86.0,0.635,7.2,2.6,0.077,16.0,3.51,0.54,0.07,0.99748
12.5,35.0,0.31,7.6,2.5,0.082,26.0,3.22,0.59,0.34,0.99356
12.7,45.0,0.57,7.8,2.3,0.065,34.0,3.46,0.74,0.09,0.99417
12.0,15.0,0.49,13.8,3.0,0.093,6.0,3.02,0.93,0.67,0.9986
10.8,35.0,0.39,11.9,2.8,0.095,17.0,3.1,0.61,0.69,0.9994
10.2,60.0,0.54,9.9,2.0,0.111,7.0,2.94,0.98,0.26,0.99709
11.0,12.0,0.74,7.6,1.9,0.1,6.0,3.36,0.59,0.0,0.99521
10.6,56.0,0.775,9.3,2.8,0.078,24.0,3.31,0.67,0.27,0.9984
12.9,106.0,0.6,4.7,2.3,0.058,17.0,3.85,0.6,0.17,0.9932
9.5,48.0,0.67,9.2,3.0,0.091,12.0,3.31,0.54,0.1,0.99888
10.0,28.0,0.58,7.2,2.3,0.077,7.0,3.35,0.52,0.03,0.99568
10.5,47.0,0.4,8.9,5.6,0.087,10.0,3.38,0.77,0.32,0.9991
10.4,13.0,0.66,9.0,3.0,0.077,5.0,3.29,0.55,0.17,0.9976
9.6,64.0,0.46,8.7,2.5,0.126,24.0,3.1,0.74,0.31,0.99746
11.4,13.0,0.52,10.4,2.0,0.08,6.0,3.22,0.76,0.45,0.99774
9.1,77.0,0.64,8.2,2.0,0.095,5.0,3.13,0.62,0.27,0.99747
9.6,21.0,0.58,9.0,2.0,0.104,8.0,3.27,0.72,0.25,0.99769
9.8,23.0,0.82,9.0,2.6,0.089,9.0,3.39,0.63,0.14,0.9984
10.4,19.0,0.44,11.1,2.2,0.064,14.0,3.25,0.57,0.42,0.99758
9.9,41.0,0.41,11.6,1.5,0.095,22.0,3.02,0.76,0.54,0.99735
9.4,125.0,0.47,9.0,2.7,0.084,24.0,3.31,0.61,0.31,0.9984
10.1,31.0,0.685,9.4,2.7,0.077,6.0,3.19,0.7,0.11,0.9984
10.5,62.0,0.4,9.4,2.2,0.09,13.0,3.07,0.63,0.31,0.9966
9.6,26.0,0.78,8.2,2.2,0.089,13.0,3.37,0.46,0.0,0.9978
11.1,20.0,0.18,7.9,1.8,0.062,7.0,3.28,0.7,0.4,0.9941
9.5,102.0,0.5,7.8,1.6,0.082,21.0,3.39,0.48,0.17,0.996
11.2,7.0,0.58,8.0,2.0,0.12,3.0,3.22,0.58,0.16,0.99454
10.7,32.0,0.57,11.9,2.6,0.082,6.0,3.12,0.78,0.5,1.0006
11.6,52.0,0.53,9.9,2.4,0.093,30.0,3.19,0.76,0.57,0.9971
9.9,34.0,0.6,7.1,1.8,0.074,16.0,3.47,0.7,0.0,0.9972
10.5,43.0,0.41,7.6,3.0,0.087,21.0,3.32,0.57,0.14,0.9964
9.4,51.0,0.67,7.3,1.8,0.401,16.0,3.16,1.14,0.26,0.9969
12.3,289.0,0.3,7.9,8.3,0.05,37.5,3.01,0.51,0.68,0.99316
10.5,47.0,0.37,11.3,1.8,0.09,20.0,3.15,0.57,0.5,0.99734
10.0,96.0,0.82,9.0,2.4,0.081,26.0,3.36,0.53,0.05,0.99814
10.4,31.0,0.64,6.8,2.3,0.075,14.0,3.36,0.58,0.03,0.99545
12.2,74.0,0.49,5.2,2.3,0.09,23.0,3.71,0.62,0.26,0.9953
9.2,46.0,0.58,7.5,4.1,0.08,27.0,3.02,0.47,0.03,0.99592
10.4,20.0,0.38,11.9,2.0,0.121,7.0,3.24,0.76,0.51,0.9996
10.0,33.0,0.25,9.8,2.7,0.088,15.0,3.42,0.9,0.49,0.9982
9.0,85.0,0.49,7.6,1.9,0.074,27.0,3.41,0.58,0.33,0.99706
10.0,20.0,0.22,7.0,1.8,0.065,16.0,3.61,0.82,0.3,0.99672
11.4,78.0,0.915,5.6,2.1,0.041,17.0,3.68,0.73,0.0,0.99346
9.6,37.0,0.55,9.5,2.3,0.387,12.0,3.17,0.67,0.66,0.9982
10.5,18.0,0.2,11.0,2.0,0.343,6.0,3.3,0.71,0.48,0.9979
12.4,35.0,0.36,6.4,2.2,0.23,19.0,3.37,0.93,0.53,0.9934
12.3,17.0,0.23,8.2,1.9,0.069,9.0,3.21,0.54,0.42,0.99376
11.2,18.0,0.48,7.2,5.5,0.089,10.0,3.37,0.68,0.07,0.99684
9.5,42.0,0.5,7.8,2.2,0.115,10.0,3.18,0.62,0.09,0.9971
11.0,13.0,0.84,7.1,4.4,0.096,5.0,3.41,0.57,0.02,0.997
12.5,43.0,0.31,8.3,2.4,0.078,17.0,3.31,0.77,0.39,0.99444
11.4,38.0,0.44,6.9,1.4,0.07,32.0,3.32,0.58,0.0,0.99438
11.6,14.0,0.58,7.5,3.1,0.153,5.0,3.21,1.03,0.56,0.99476
10.0,17.0,0.55,8.6,3.3,0.068,8.0,3.23,0.44,0.09,0.99735
11.8,58.0,0.18,7.7,2.7,0.066,15.0,3.37,0.78,0.34,0.9947
11.7,22.0,0.58,6.9,1.75,0.058,8.0,3.38,0.49,0.2,0.99322
9.7,94.0,0.59,7.1,2.3,0.082,24.0,3.55,0.53,0.02,0.99744
9.4,17.0,0.55,7.8,1.7,0.07,7.0,3.26,0.64,0.0,0.99659
9.2,89.0,0.69,7.0,1.8,0.097,22.0,3.34,0.54,0.08,0.9959
9.5,27.0,0.5,10.8,2.5,0.073,5.0,3.05,0.64,0.46,1.0001
9.6,32.0,0.72,7.9,1.9,0.076,7.0,3.39,0.54,0.01,0.99668
10.4,6.0,0.45,12.2,1.4,0.075,3.0,3.13,0.63,0.49,0.9969
9.4,47.0,0.4,6.5,2.0,0.076,30.0,3.36,0.48,0.1,0.99554
9.4,36.0,0.49,7.2,2.2,0.07,5.0,3.33,0.48,0.24,0.996
9.2,20.0,0.68,7.6,1.3,0.072,9.0,3.17,1.08,0.02,0.9965
10.7,37.0,0.62,8.0,2.7,0.088,16.0,3.31,0.58,0.33,0.9972
11.9,15.0,0.2,7.9,1.7,0.054,7.0,3.32,0.8,0.35,0.99458
12.4,36.0,0.34,8.4,2.1,0.072,23.0,3.11,0.78,0.42,0.99392
11.4,24.0,0.36,7.4,1.8,0.074,17.0,3.24,0.7,0.3,0.99419
9.5,49.0,0.5,6.9,1.5,0.085,19.0,3.35,0.78,0.04,0.9958
10.0,48.0,0.42,7.6,2.7,0.084,15.0,3.21,0.59,0.08,0.9968
10.4,22.0,0.5,7.8,1.9,0.075,8.0,3.31,0.56,0.3,0.9959
10.0,47.0,0.42,6.0,2.0,0.075,22.0,3.39,0.78,0.19,0.99522
14.0,42.0,0.42,4.9,2.1,0.048,16.0,3.71,0.74,0.0,0.99154
9.6,14.0,0.82,8.1,4.1,0.095,5.0,3.36,0.53,0.0,0.99854
9.5,111.0,0.44,8.8,2.8,0.083,18.0,3.3,0.6,0.49,0.9982
10.9,27.0,0.56,12.5,2.4,0.064,5.0,3.08,0.87,0.49,0.9999
10.4,69.0,0.35,12.4,2.6,0.079,27.0,3.12,0.75,0.49,0.9994
9.7,49.0,0.98,7.3,2.1,0.061,20.0,3.31,0.55,0.05,0.99705
11.0,45.0,0.6,6.1,1.8,0.071,14.0,3.38,0.54,0.08,0.99336
9.0,37.0,1.0,8.2,2.3,0.065,7.0,3.32,0.55,0.09,0.99685
9.5,64.0,0.745,7.0,1.8,0.114,15.0,3.22,0.59,0.12,0.99588
10.6,32.0,0.78,9.5,1.9,0.077,6.0,3.26,0.56,0.22,0.9988
9.3,151.0,0.655,8.5,6.1,0.122,34.0,3.31,1.14,0.49,1.001
9.1,15.0,0.6,8.8,2.2,0.098,5.0,3.36,0.49,0.29,0.9988
11.0,11.0,1.02,8.3,3.4,0.084,6.0,3.48,0.49,0.02,0.99892
11.8,17.0,0.29,10.2,2.4,0.075,6.0,3.22,0.63,0.65,0.99565
12.2,11.0,0.43,7.6,2.7,0.082,6.0,3.44,0.54,0.4,0.99538
10.2,17.0,0.46,11.4,2.7,0.122,4.0,3.13,0.7,0.5,1.0006
10.6,17.0,0.64,6.0,1.9,0.066,9.0,3.52,0.78,0.05,0.99496
9.3,22.0,0.59,12.7,2.3,0.082,11.0,3.0,0.7,0.45,1.0
9.4,72.0,0.53,7.4,2.0,0.101,16.0,3.15,0.57,0.26,0.9957
9.2,15.0,0.315,11.5,2.1,0.084,5.0,2.98,0.7,0.54,0.9987
12.9,101.0,0.51,5.1,2.1,0.042,16.0,3.46,0.87,0.18,0.9924
9.7,39.0,0.67,6.8,1.9,0.08,22.0,3.4,0.74,0.0,0.99701
11.5,96.0,1.04,5.0,1.6,0.05,32.0,3.74,0.62,0.24,0.9934
10.5,16.0,0.59,8.0,1.8,0.065,3.0,3.42,0.92,0.16,0.9962
9.5,135.0,0.19,5.9,1.7,0.045,57.0,3.32,0.44,0.21,0.99341
11.3,24.0,0.49,6.8,2.3,0.071,13.0,3.41,0.83,0.22,0.99438
10.5,121.0,0.49,7.0,5.6,0.06,26.0,3.34,0.76,0.49,0.9974
9.8,133.0,0.39,8.2,2.3,0.099,47.0,3.38,0.99,0.49,0.9979
9.4,68.0,0.34,7.1,2.0,0.082,31.0,3.45,0.48,0.28,0.99694
9.9,28.0,0.45,7.2,2.0,0.078,10.0,3.29,0.51,0.15,0.99609
9.5,49.0,0.5,6.8,1.5,0.075,16.0,3.36,0.79,0.11,0.99545
11.3,23.0,0.43,9.2,2.3,0.083,14.0,3.35,0.61,0.52,0.9976
9.6,31.0,0.5,7.2,2.1,0.071,12.0,3.52,0.72,0.18,0.99761
10.3,57.0,0.645,7.6,1.9,0.086,14.0,3.37,0.46,0.03,0.9969
9.9,22.0,0.53,7.2,2.0,0.058,18.0,3.21,0.68,0.13,0.99573
9.7,33.0,0.84,8.7,1.4,0.065,24.0,3.27,0.55,0.0,0.9954
9.2,114.0,0.935,7.7,2.2,0.114,22.0,3.25,0.73,0.43,0.997
9.5,70.0,0.38,7.2,1.8,0.073,31.0,3.42,0.59,0.3,0.99685
13.5,11.0,0.29,5.8,1.7,0.063,3.0,3.39,0.54,0.26,0.9915
10.4,15.0,0.65,6.8,2.1,0.078,8.0,3.35,0.62,0.02,0.99498
10.55,24.0,0.56,7.0,1.7,0.065,15.0,3.44,0.68,0.17,0.99514
10.4,44.0,0.63,6.8,2.1,0.089,11.0,3.47,0.55,0.07,0.9953
11.9,21.0,0.12,8.9,1.8,0.075,10.0,3.41,0.76,0.45,0.99552
9.3,86.0,0.6,6.8,1.9,0.079,18.0,3.59,0.57,0.18,0.9968
9.1,106.0,0.47,9.1,2.6,0.094,38.0,3.08,0.59,0.49,0.9982
9.7,25.0,0.39,8.4,1.7,0.075,6.0,3.09,0.43,0.1,0.99581
10.1,20.0,0.695,7.2,2.0,0.076,12.0,3.29,0.54,0.13,0.99546
10.9,12.0,1.33,8.1,1.8,0.082,3.0,3.54,0.48,0.0,0.9964
11.5,48.0,0.39,7.2,2.6,0.066,22.0,3.3,0.84,0.44,0.99494
10.0,45.0,0.4,6.9,2.5,0.083,30.0,3.26,0.58,0.24,0.9959
10.2,14.0,0.875,7.1,5.7,0.082,3.0,3.4,0.52,0.05,0.99808
9.0,62.0,0.49,8.6,2.0,0.422,16.0,3.03,1.17,0.51,0.9979
11.8,72.0,0.3,8.8,2.3,0.06,19.0,3.39,0.72,0.38,0.99543
11.3,29.0,0.4,7.0,3.6,0.061,9.0,3.28,0.49,0.32,0.99416
11.0,44.0,0.56,8.4,2.1,0.105,16.0,3.13,0.52,0.08,0.9958
9.4,27.0,0.26,8.3,2.0,0.08,11.0,3.21,0.8,0.42,0.9974
10.4,54.0,0.46,7.1,1.9,0.077,28.0,3.37,0.64,0.2,0.9956
9.4,27.0,0.39,7.7,1.7,0.097,19.0,3.16,0.49,0.12,0.99596
10.5,34.0,0.43,8.3,3.4,0.079,7.0,3.36,0.61,0.3,0.99788
11.4,43.0,0.29,13.3,2.8,0.084,23.0,3.04,0.68,0.75,0.9986
9.8,28.0,0.31,11.5,2.2,0.079,14.0,3.03,0.93,0.51,0.9982
9.3,153.0,0.785,8.1,2.0,0.122,37.0,3.21,0.69,0.52,0.9969
9.6,64.0,0.48,6.8,1.8,0.074,40.0,3.12,0.49,0.08,0.99529
10.2,62.0,0.67,8.0,2.0,0.06,38.0,3.26,0.56,0.3,0.9958
10.7,23.0,0.775,6.8,3.0,0.102,8.0,3.45,0.56,0.0,0.9965
9.4,127.0,0.5,8.2,2.9,0.077,21.0,3.23,0.62,0.35,0.9976
9.2,18.0,0.615,6.5,1.9,0.065,9.0,3.46,0.65,0.0,0.9972
9.4,45.0,0.41,7.7,1.8,0.611,8.0,3.06,1.26,0.76,0.9968
9.4,77.0,0.46,9.2,2.6,0.091,18.0,3.15,0.51,0.23,0.99922
11.4,19.0,0.43,10.4,2.3,0.068,13.0,3.1,0.87,0.5,0.996
12.8,44.0,0.47,5.1,1.3,0.034,18.0,3.9,0.62,0.02,0.9921
9.3,30.0,0.52,9.1,1.3,0.07,9.0,3.24,0.6,0.33,0.9978
10.1,68.0,0.34,7.2,2.5,0.075,41.0,3.37,0.54,0.21,0.99586
9.0,29.0,0.59,7.4,4.4,0.086,6.0,3.38,0.5,0.08,0.9974
11.5,52.0,0.76,6.3,2.9,0.072,26.0,3.51,0.6,0.0,0.99379
9.3,65.0,0.61,6.8,1.8,0.077,11.0,3.54,0.58,0.2,0.9971
10.4,17.0,0.79,6.4,2.2,0.061,11.0,3.53,0.65,0.04,0.99588
11.5,99.0,0.49,12.4,3.0,0.103,28.0,3.16,1.0,0.58,1.0008
11.9,165.0,0.21,6.1,1.4,0.066,40.5,3.25,0.59,0.4,0.9912
9.2,65.0,0.575,8.1,2.1,0.077,12.0,3.29,0.51,0.22,0.9967
9.8,31.0,0.87,8.1,2.2,0.084,10.0,3.25,0.5,0.0,0.99656
11.0,35.0,0.33,7.9,1.5,0.056,6.0,3.29,0.71,0.41,0.99396
9.9,124.0,0.735,6.6,7.9,0.122,68.0,3.47,0.53,0.02,0.9994
12.5,46.0,0.74,5.0,1.2,0.041,16.0,4.01,0.59,0.0,0.99258
9.6,10.0,0.42,10.2,3.4,0.07,4.0,3.04,0.63,0.57,0.9971
12.0,10.0,0.4,8.5,6.3,0.05,3.0,3.28,0.56,0.4,0.99566
10.9,22.0,0.765,7.9,2.0,0.084,9.0,3.33,0.68,0.0,0.99619
9.8,14.0,0.39,10.9,1.8,0.118,6.0,3.3,0.75,0.47,0.9982
10.9,55.0,0.36,9.3,1.5,0.08,41.0,3.47,0.73,0.39,0.99652
9.5,22.0,0.965,7.7,2.1,0.112,11.0,3.26,0.5,0.1,0.9963
10.5,30.0,0.75,8.9,2.5,0.086,9.0,3.34,0.64,0.14,0.99824
10.9,9.0,0.28,9.1,9.0,0.114,3.0,3.18,0.6,0.46,0.99901
10.7,13.0,0.825,8.1,2.1,0.084,5.0,3.37,0.77,0.24,0.9972
9.2,73.0,0.57,6.4,3.9,0.07,27.0,3.32,0.48,0.14,0.99669
13.4,27.0,0.4,8.9,2.6,0.052,13.0,3.32,0.9,0.51,0.995
11.4,35.0,0.715,7.6,2.1,0.068,30.0,3.48,0.65,0.0,0.99533
9.8,29.0,0.28,12.5,2.3,0.082,12.0,3.11,1.36,0.54,0.9997
11.1,23.0,0.645,15.5,4.2,0.095,10.0,2.92,0.74,0.49,1.00315
9.4,60.0,0.22,8.9,1.8,0.077,29.0,3.39,0.53,0.48,0.9968
9.0,24.0,0.575,10.4,2.6,0.076,11.0,3.16,0.69,0.61,1.0
9.8,38.0,0.61,7.4,2.0,0.074,13.0,3.48,0.65,0.01,0.99748
9.0,40.0,0.43,13.3,1.9,0.07,15.0,3.06,0.49,0.58,1.0004
10.3,23.0,0.68,6.8,2.1,0.07,9.0,3.38,0.6,0.21,0.99546
9.2,23.0,0.28,10.6,15.5,0.069,6.0,3.12,0.66,0.39,1.0026
9.6,98.0,0.785,7.4,5.2,0.094,19.0,3.16,0.52,0.19,0.99713
9.2,18.0,0.42,8.0,2.0,0.073,6.0,3.29,0.61,0.17,0.9972
12.5,26.0,0.27,10.1,2.3,0.065,7.0,3.17,0.53,0.54,0.99531
9.2,63.0,0.62,7.0,1.4,0.071,27.0,3.28,0.61,0.1,0.996
10.0,28.0,0.705,8.3,2.6,0.092,12.0,3.51,0.72,0.12,0.9994
13.1,17.0,0.54,7.9,2.5,0.076,8.0,3.2,0.72,0.34,0.99235
10.3,8.0,0.59,7.0,1.7,0.052,3.0,3.41,0.47,0.0,0.996
9.5,78.0,0.45,9.1,2.4,0.08,23.0,3.38,0.62,0.35,0.9987
9.2,12.0,0.4,6.4,1.6,0.066,5.0,3.34,0.56,0.23,0.9958
11.7,17.0,0.53,10.9,4.6,0.118,10.0,3.07,0.56,0.49,1.0002
9.8,54.0,0.735,7.0,2.0,0.081,13.0,3.39,0.57,0.05,0.9966
9.5,18.0,0.58,7.8,2.0,0.073,9.0,3.36,0.57,0.02,0.9968
9.8,40.0,0.31,10.6,2.2,0.063,18.0,3.14,0.51,0.49,0.9976
9.3,38.0,0.69,9.0,2.4,0.088,19.0,3.35,0.6,0.0,0.999
10.1,28.0,0.63,6.5,1.8,0.059,16.0,3.36,0.64,0.33,0.99531
11.8,19.0,0.32,8.5,2.3,0.075,12.0,3.14,0.71,0.42,0.99434
9.5,32.0,0.58,10.0,1.9,0.08,9.0,3.13,0.55,0.22,0.9974
10.9,28.0,0.61,5.8,1.8,0.066,18.0,3.55,0.66,0.11,0.99483
10.2,31.0,0.41,9.3,2.2,0.064,12.0,3.26,0.65,0.39,0.9984
11.0,37.0,0.52,6.9,2.6,0.081,10.0,3.46,0.5,0.25,0.99685
12.9,86.0,0.585,5.1,1.7,0.044,14.0,3.56,0.94,0.0,0.99264
10.2,10.0,0.26,11.8,1.8,0.071,6.0,3.2,0.72,0.52,0.9968
11.7,100.0,0.28,6.7,2.4,0.012,36.0,3.26,0.39,0.28,0.99064
9.4,19.0,0.38,6.1,1.8,0.072,6.0,3.42,0.57,0.15,0.9955
11.8,20.0,0.67,6.5,4.3,0.057,11.0,3.45,0.56,0.0,0.99488
9.8,88.0,0.61,7.5,1.9,0.073,24.0,3.3,0.53,0.26,0.99612
11.0,48.0,0.34,8.3,2.4,0.065,24.0,3.34,0.86,0.4,0.99554
11.3,18.0,0.42,10.6,2.7,0.065,5.0,3.21,0.87,0.48,0.9972
9.4,141.0,0.67,8.1,1.8,0.117,32.0,3.17,0.62,0.55,0.9968
9.5,13.0,0.73,8.2,1.7,0.074,5.0,3.2,0.52,0.21,0.9968
9.5,26.0,0.68,7.1,2.3,0.087,17.0,3.45,0.53,0.0,0.99783
9.8,61.0,0.87,8.1,3.3,0.096,26.0,3.6,0.72,0.0,1.00025
9.7,53.0,0.59,6.8,1.7,0.063,34.0,3.41,0.67,0.1,0.9958
9.3,119.0,0.63,8.6,2.9,0.099,21.0,3.09,0.52,0.17,0.998
