,alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
2261,9.0,134.0,0.36,6.5,4.1,0.061,20.0,3.18,0.45,0.31,0.99475
944,8.7,131.0,0.18,6.5,8.0,0.051,16.0,3.28,0.44,0.33,0.9965
258,11.8,118.0,0.23,6.4,1.8,0.032,23.0,3.32,0.5,0.39,0.9912
1211,9.7,188.0,0.27,7.3,6.7,0.064,28.0,3.29,0.3,0.39,0.9958
3437,9.4,113.0,0.4,6.7,8.8,0.052,24.0,3.22,0.45,0.22,0.99576
3204,9.1,177.0,0.28,6.8,7.5,0.035,34.0,3.33,0.43,0.34,0.99692
34,10.2,179.0,0.27,5.8,14.95,0.044,22.0,3.37,0.37,0.2,0.9962
3646,12.2,73.0,0.33,7.2,4.5,0.031,10.0,2.97,0.52,0.22,0.99076
1264,9.9,73.0,0.14,7.2,1.2,0.036,15.0,3.46,0.39,0.35,0.9938
4699,9.8,168.0,0.3,6.8,12.8,0.041,60.0,3.1,0.56,0.33,0.99659
3311,11.1,152.0,0.19,6.0,1.1,0.047,67.0,3.54,0.59,0.29,0.9916
4582,10.5,146.0,0.37,6.3,6.3,0.048,35.0,3.1,1.01,0.51,0.9943
3649,12.3,126.0,0.29,7.0,1.6,0.035,34.0,3.26,0.47,0.37,0.99058
1314,9.3,169.0,0.31,6.4,6.2,0.04,46.0,3.15,0.46,0.4,0.9953
1294,11.6,102.0,0.41,6.9,4.2,0.031,10.0,3.0,0.86,0.22,0.993
997,9.5,152.0,0.24,6.1,9.8,0.062,33.0,3.31,0.47,0.27,0.9966
2061,10.8,96.0,0.23,6.7,1.8,0.036,23.0,3.32,0.4,0.33,0.9925
2381,10.2,144.0,0.23,7.0,5.1,0.042,37.0,3.5,0.59,0.42,0.99518
2648,10.2,144.0,0.23,6.6,14.45,0.057,29.0,3.33,0.54,0.29,0.99756
4887,13.0,56.0,0.41,6.2,1.9,0.023,5.0,3.04,0.79,0.22,0.98928
3379,9.2,221.0,0.36,7.6,11.3,0.046,87.0,3.01,0.43,0.49,0.9984
689,10.8,125.0,0.17,6.7,2.0,0.039,34.0,3.26,0.6,0.37,0.9922
1093,10.6,132.0,0.17,8.4,6.7,0.038,29.0,3.1,0.32,0.31,0.9945
175,11.4,151.0,0.23,6.9,7.5,0.04,50.0,3.11,0.27,0.4,0.9927
3195,10.9,123.0,0.21,7.0,5.3,0.037,36.0,3.14,0.52,0.42,0.99321
4239,11.9,90.0,0.28,5.7,1.8,0.041,38.0,3.27,0.98,0.36,0.99002
3506,10.9,155.0,0.33,7.5,4.9,0.042,21.0,3.36,0.57,0.28,0.99385
54,9.1,132.0,0.2,6.8,0.9,0.147,38.0,3.05,0.38,0.59,0.993
121,8.8,138.0,0.24,7.8,12.2,0.054,42.0,3.01,0.54,0.32,0.9984
1070,11.3,166.0,0.37,8.0,1.6,0.04,32.0,3.0,0.55,0.32,0.992
2878,12.7,138.0,0.32,5.9,2.1,0.027,35.0,3.37,0.42,0.33,0.98945
748,9.8,176.0,0.18,6.9,8.1,0.049,44.0,3.3,0.54,0.38,0.9958
3517,13.7,102.0,0.29,6.6,1.8,0.036,38.0,3.08,0.42,0.29,0.98819
3578,11.2,124.0,0.22,6.7,1.2,0.038,5.0,3.1,0.37,0.22,0.99098
3975,11.9,134.0,0.24,6.1,1.7,0.033,61.0,3.19,0.81,0.26,0.9903
2290,10.5,106.0,0.18,7.4,1.4,0.047,21.0,3.52,0.64,0.24,0.99383
3787,9.5,201.0,0.34,6.4,8.2,0.043,54.0,3.18,0.48,0.44,0.99551
1047,10.4,61.0,0.31,7.0,1.7,0.029,5.0,3.07,0.43,0.52,0.9918
644,9.5,166.0,0.24,6.4,11.4,0.051,32.0,3.31,0.45,0.29,0.9968
3188,11.0,123.0,0.17,7.0,6.4,0.055,42.0,3.11,0.5,0.36,0.99318
2640,11.8,89.0,0.2,7.4,1.2,0.028,28.0,3.14,0.61,0.37,0.99132
2316,12.0,116.0,0.2,7.4,1.6,0.038,34.0,3.25,0.39,0.31,0.9912
4745,10.5,440.0,0.26,6.1,2.9,0.047,289.0,3.44,0.64,0.25,0.99314
3113,9.2,126.0,0.24,6.5,17.3,0.052,22.0,3.11,0.47,0.39,0.99888
277,10.6,60.0,0.26,7.7,1.1,0.042,9.0,2.89,0.5,0.4,0.9915
4813,9.7,178.0,0.36,5.8,1.0,0.127,63.0,3.1,0.45,0.5,0.99212
65,9.1,120.0,0.35,6.2,1.2,0.064,29.0,3.22,0.54,0.03,0.9934
3722,9.8,134.0,0.31,7.7,2.0,0.069,29.0,3.11,0.62,0.23,0.99382
1650,12.8,131.0,0.31,7.6,3.95,0.044,27.0,3.08,0.67,0.49,0.9912
831,11.5,161.0,0.17,7.4,5.5,0.037,34.0,3.05,0.62,0.4,0.9935
1742,9.7,142.0,0.25,6.3,14.9,0.039,47.0,3.14,0.35,0.23,0.99705
3618,10.0,118.0,0.27,7.1,12.6,0.044,48.0,3.04,0.56,0.24,0.99726
1203,10.7,97.0,0.33,5.0,1.5,0.049,10.0,3.48,0.44,0.16,0.9917
373,9.2,149.0,0.27,7.2,2.4,0.048,30.0,3.1,0.51,0.27,0.9936
1848,9.0,243.0,0.49,8.7,17.8,0.052,34.0,2.98,0.82,0.57,1.0007
1725,9.3,152.0,0.17,6.9,4.6,0.064,55.0,3.29,0.37,0.22,0.9952
4470,11.3,90.0,0.145,4.7,1.0,0.042,35.0,3.76,0.49,0.29,0.9908
2807,8.9,151.0,0.18,7.5,9.6,0.039,53.0,3.03,0.46,0.72,0.99802
2966,9.0,118.0,0.23,6.6,14.9,0.051,33.0,3.04,0.54,0.3,0.99835
3687,10.8,98.0,0.16,6.0,12.0,0.03,39.0,3.15,0.34,0.27,0.99402
2185,9.5,94.0,0.18,7.5,11.7,0.051,24.0,3.19,0.44,0.31,0.997
4325,9.5,182.0,0.24,6.4,8.2,0.054,47.0,3.12,0.5,0.26,0.99538
4103,11.7,86.0,0.31,5.7,4.1,0.03,22.0,3.31,0.38,0.28,0.99062
3875,9.9,98.0,0.22,7.4,1.6,0.057,45.0,3.29,0.44,0.27,0.99299
285,8.8,180.0,0.32,7.3,7.2,0.056,47.0,3.08,0.47,0.25,0.9961
3182,9.8,131.0,0.12,5.5,1.0,0.038,23.0,3.25,0.45,0.33,0.99164
4214,9.5,210.0,0.44,7.0,12.1,0.056,68.0,3.05,0.5,0.24,0.99718
1084,10.1,142.0,0.23,6.3,5.1,0.035,29.0,3.36,0.33,0.21,0.9942
562,9.2,184.0,0.34,7.7,8.8,0.063,39.0,3.09,0.63,0.27,0.9969
1756,9.3,202.0,0.27,6.7,8.0,0.053,54.0,3.22,0.43,0.25,0.9961
3114,11.3,117.0,0.17,6.3,4.2,0.04,37.0,3.24,0.43,0.32,0.99182
77,12.0,69.0,0.32,7.0,1.3,0.042,20.0,3.31,0.65,0.34,0.9912
2709,8.9,184.0,0.25,7.8,13.7,0.044,66.0,3.22,0.75,0.34,0.99976
4613,9.8,145.0,0.27,5.8,7.3,0.04,42.0,3.15,0.48,0.2,0.99442
4540,12.75,105.0,0.28,5.8,3.9,0.026,36.0,3.26,0.58,0.3,0.98963
3022,9.7,133.0,0.74,8.0,4.0,0.05,24.0,3.06,0.38,0.21,0.99418
1377,11.4,136.0,0.28,6.9,1.7,0.05,10.0,3.16,0.71,0.41,0.993
2566,12.3,80.0,0.21,6.9,1.8,0.021,17.0,3.15,0.46,0.24,0.98992
532,9.0,178.0,0.25,7.4,13.2,0.067,53.0,3.01,0.48,0.36,0.9976
3854,12.1,110.0,0.12,5.9,4.8,0.03,40.0,3.55,0.68,0.27,0.99226
1964,9.0,173.0,0.31,6.8,6.9,0.046,50.0,3.19,0.46,0.42,0.9958
1399,11.5,83.0,0.2,7.0,5.7,0.035,32.0,3.19,0.46,0.34,0.9928
4767,9.4,181.0,0.19,6.6,1.2,0.052,34.0,3.3,0.42,0.25,0.99352
4535,9.1,156.0,0.26,7.3,12.7,0.047,60.5,3.06,0.45,0.53,0.9984
4228,9.9,201.0,0.29,6.2,12.4,0.048,33.0,3.11,0.56,0.23,0.99612
1315,10.0,162.0,0.2,8.1,9.7,0.044,63.0,3.1,0.46,0.36,0.997
3793,9.9,170.0,0.32,6.3,12.0,0.049,63.0,3.14,0.55,0.26,0.9961
2746,10.8,142.0,0.34,7.0,1.8,0.045,44.0,2.99,0.45,0.3,0.9914
1059,8.7,166.0,0.3,5.3,1.1,0.077,48.0,3.3,0.54,0.2,0.9944
170,12.7,133.0,0.3,7.1,1.5,0.066,29.0,3.12,0.54,0.46,0.9906
3943,9.9,113.0,0.2,6.4,6.6,0.046,26.0,2.99,0.58,0.15,0.99408
1652,10.9,118.0,0.29,8.2,1.0,0.044,29.0,3.24,0.36,0.49,0.9928
3368,10.2,161.0,0.18,6.6,1.7,0.041,53.0,3.13,0.45,0.28,0.99207
4511,12.5,110.0,0.27,6.1,1.1,0.034,24.0,3.36,0.4,0.32,0.9898
3594,10.7,107.0,0.19,6.8,7.6,0.049,37.0,3.12,0.44,0.32,0.99332
4889,9.4,118.0,0.235,4.9,11.75,0.03,34.0,3.07,0.5,0.27,0.9954
557,10.4,137.0,0.41,6.1,1.6,0.049,16.0,3.32,0.5,0.24,0.993
4263,12.2,164.0,0.55,7.0,8.0,0.036,19.0,3.26,0.46,0.05,0.99269
382,9.2,157.0,0.35,7.5,9.6,0.051,26.0,3.12,0.53,0.28,0.9969
3992,10.5,76.0,0.19,6.7,3.7,0.041,26.0,2.9,0.57,0.32,0.99173
1476,10.7,184.0,0.85,7.1,8.7,0.028,40.0,3.22,0.36,0.49,0.9962
4384,9.5,182.0,0.26,6.4,8.2,0.05,51.0,3.23,0.48,0.21,0.99542
2668,12.6,120.0,0.655,9.6,2.0,0.039,21.0,3.0,1.0,0.21,0.99188
1868,11.8,144.0,0.21,7.4,7.3,0.031,41.0,3.15,0.38,0.27,0.9932
1560,12.8,156.0,0.3,7.8,1.8,0.033,33.0,3.29,0.52,0.74,0.991
4803,11.9,111.0,0.31,6.4,5.8,0.038,42.0,3.18,0.53,0.5,0.99189
1454,9.2,231.0,0.21,8.3,19.8,0.054,50.0,2.99,0.54,0.49,1.0012
985,10.5,122.0,0.41,6.0,1.9,0.05,29.0,3.42,0.52,0.21,0.9928
2439,9.9,130.0,0.27,7.3,9.7,0.042,36.0,3.48,0.75,0.37,0.9979
2766,12.0,95.0,0.16,6.9,1.8,0.034,36.0,2.93,0.59,0.37,0.98952
2480,10.2,113.0,0.32,6.8,1.0,0.049,22.0,3.24,0.61,0.3,0.99289
2997,11.3,158.0,0.25,6.9,1.2,0.035,35.0,3.02,0.58,0.33,0.99082
138,10.8,96.0,0.19,6.8,1.9,0.035,30.0,3.15,0.54,0.36,0.9917
3791,9.5,197.0,0.26,6.5,8.0,0.051,46.0,3.18,0.47,0.5,0.99536
2676,11.2,93.0,0.1,7.6,1.0,0.031,33.0,3.06,0.68,0.33,0.99094
3889,10.8,127.0,0.27,6.2,12.1,0.046,43.0,3.16,0.37,0.26,0.9951
2125,10.1,163.0,0.28,6.0,12.15,0.048,42.0,3.2,0.46,0.22,0.9957
190,8.9,211.0,0.28,6.6,8.5,0.052,55.0,3.09,0.55,0.28,0.9962
1716,10.8,108.0,0.21,7.0,6.0,0.046,29.0,3.26,0.5,0.31,0.9939
556,9.4,160.0,0.35,8.4,12.2,0.046,22.0,2.98,0.65,0.71,0.9982
4353,11.4333333333333,166.0,0.16,7.4,1.4,0.064,34.0,3.11,0.42,0.3,0.99136
1186,9.3,184.0,0.32,7.5,1.2,0.048,22.0,3.09,0.43,0.37,0.9938
3170,10.7,147.0,0.17,7.6,0.9,0.036,63.0,3.02,0.41,0.46,0.99126
2834,11.2,117.0,0.15,6.2,1.4,0.041,51.0,3.28,0.38,0.27,0.9909
2697,10.8,104.0,0.18,7.0,1.5,0.043,16.0,3.18,0.5,0.37,0.99216
4764,11.4,116.0,0.26,5.9,5.4,0.046,34.0,3.24,0.41,0.29,0.99224
350,11.4,146.0,0.12,6.3,2.1,0.044,47.0,3.27,0.74,0.36,0.9914
4049,11.3,98.0,0.16,6.8,1.3,0.034,32.0,3.02,0.58,0.36,0.99058
3577,11.3,120.0,0.23,7.3,2.6,0.035,39.0,3.04,0.59,0.27,0.99138
3159,10.5,130.0,0.19,6.9,7.9,0.042,30.0,3.4,0.39,0.32,0.99456
1205,9.4,200.0,0.33,8.9,1.5,0.047,11.0,3.19,0.46,0.32,0.9954
2909,11.3,73.0,0.18,6.2,1.0,0.031,23.0,3.23,0.52,0.3,0.99032
2789,9.4,178.0,0.4,6.9,6.2,0.065,42.0,3.11,0.53,0.43,0.99552
2375,12.2,150.0,0.32,7.0,4.9,0.036,41.0,3.38,0.43,0.29,0.99168
711,12.3,128.0,0.27,8.2,1.6,0.035,31.0,3.1,0.5,0.43,0.9916
2573,9.7,185.0,0.34,6.3,4.9,0.035,31.0,3.15,0.49,0.36,0.9946
2180,9.5,146.0,0.36,8.0,10.1,0.053,29.0,3.4,0.46,0.43,0.9982
4638,10.6,177.0,0.51,6.5,1.7,0.048,39.0,3.28,0.57,0.25,0.99212
709,9.2,98.0,0.47,6.2,1.0,0.044,13.0,3.14,0.46,0.21,0.99345
2025,8.9,149.0,0.3,7.5,1.3,0.16,44.0,3.08,0.42,0.71,0.9948
2244,8.9,228.0,0.36,7.0,11.6,0.043,35.0,3.13,0.51,0.14,0.9977
4664,10.1333333333333,114.0,0.16,6.1,6.1,0.034,31.0,3.32,0.58,0.34,0.99365
2369,10.7,144.0,0.16,6.1,6.0,0.03,29.0,3.68,0.46,0.29,0.99474
3108,10.3,151.0,0.35,7.6,14.7,0.047,33.0,3.03,0.53,0.46,0.99709
730,10.4,139.0,0.23,6.5,13.8,0.042,25.0,3.35,0.56,0.33,0.99695
1290,9.7,98.0,0.16,8.4,1.5,0.033,16.0,3.14,0.42,0.33,0.994
3528,11.1,50.0,0.75,6.9,6.3,0.036,19.0,3.09,0.25,0.13,0.99312
3911,9.2,109.0,0.23,7.2,1.3,0.149,70.0,2.93,0.42,0.82,0.99304
4001,9.5,122.0,0.25,6.4,1.0,0.062,21.0,3.0,0.4,0.57,0.99238
3684,12.6,122.0,0.31,6.8,8.0,0.028,33.0,3.13,0.63,0.3,0.99164
4574,12.9,102.0,0.2,6.2,9.7,0.03,39.0,3.08,0.56,0.26,0.9908
4313,11.5,86.0,0.27,6.4,1.6,0.04,19.0,3.32,0.65,0.3,0.99089
4696,13.0,84.0,0.15,6.1,1.2,0.03,19.0,3.19,0.96,0.4,0.98926
2082,10.5,119.0,0.33,7.5,11.1,0.036,25.0,3.15,0.34,0.32,0.9962
918,11.9,107.0,0.24,7.0,1.4,0.031,27.0,3.06,0.39,0.34,0.99
3408,10.2,192.0,0.32,7.1,9.9,0.041,63.0,3.12,0.49,0.3,0.99642
3284,12.2,103.0,0.34,8.0,6.4,0.035,38.0,2.91,0.23,0.25,0.99148
3147,10.4,154.0,0.32,7.2,8.7,0.038,45.0,3.2,0.47,0.4,0.99568
2431,9.0,177.0,0.29,6.3,7.05,0.045,50.0,3.23,0.42,0.14,0.99564
73,9.1,72.0,0.23,8.6,1.0,0.054,9.0,2.95,0.49,0.46,0.9941
1744,9.1,136.0,0.22,6.6,1.1,0.133,52.0,3.1,0.3,0.58,0.9932
1705,11.3,127.0,0.25,6.6,1.5,0.035,32.0,3.41,0.47,0.31,0.9921
2884,12.8,114.0,0.28,7.0,7.75,0.032,30.0,3.12,0.64,0.32,0.99158
3926,9.9,91.0,0.14,6.9,9.9,0.056,30.0,3.19,0.33,0.29,0.99512
4176,10.2,161.0,0.24,6.8,3.2,0.049,68.0,3.1,0.69,0.33,0.99324
2400,10.0,104.0,0.19,9.2,2.0,0.047,16.0,3.09,0.66,0.42,0.99517
2770,8.8,228.0,0.44,6.4,14.4,0.048,29.0,3.26,0.54,0.44,0.99955
173,11.5,130.0,0.22,6.3,4.55,0.038,31.0,3.35,0.33,0.43,0.9918
4472,11.1,83.0,0.28,7.0,1.4,0.039,12.0,3.18,0.65,0.28,0.99173
4468,11.3,95.0,0.21,6.2,1.2,0.051,31.0,3.24,0.57,0.24,0.99036
3495,11.6,102.0,0.22,6.3,2.4,0.042,38.0,3.14,0.37,0.28,0.98998
287,9.0,192.0,0.23,7.2,14.2,0.058,49.0,2.98,0.48,0.39,0.9979
714,10.8,187.0,0.39,6.0,2.7,0.038,39.0,3.41,0.5,0.26,0.99325
616,11.7,101.0,0.32,7.8,2.4,0.037,18.0,3.21,0.65,0.33,0.9912
162,10.6,85.0,0.36,6.3,4.8,0.049,14.0,3.28,0.39,0.3,0.9932
2984,12.7,28.0,0.3,6.9,10.55,0.037,4.0,3.07,0.32,0.3,0.99184
2398,11.9,93.0,0.36,8.0,1.6,0.024,26.0,3.15,0.49,0.39,0.99116
1378,11.1,132.0,0.28,6.9,1.6,0.047,46.0,3.35,0.38,0.3,0.9918
2669,9.3,179.0,0.26,6.8,7.5,0.046,45.0,3.2,0.49,0.4,0.99583
1127,12.0,99.0,0.125,6.4,5.85,0.042,24.0,3.23,0.32,0.29,0.992
822,9.4,104.0,0.18,6.8,5.4,0.053,34.0,3.3,0.43,0.21,0.99445
4832,10.7,141.0,0.32,5.9,1.5,0.057,17.0,3.24,0.36,0.26,0.9917
351,11.9,138.0,0.33,7.3,6.85,0.038,32.0,3.03,0.3,0.4,0.992
600,9.4,160.0,0.3,6.7,1.4,0.18,36.0,3.11,0.54,0.35,0.9937
2865,10.4,115.0,0.19,5.6,1.1,0.032,33.0,3.36,0.5,0.46,0.9909
4559,10.7,110.0,0.22,6.9,9.3,0.04,22.0,3.34,0.54,0.32,0.9958
4627,10.9,99.0,0.19,6.1,2.6,0.041,24.0,3.18,0.5,0.37,0.99153
1655,10.2,142.0,0.28,7.8,1.3,0.046,27.0,3.09,0.59,0.49,0.9936
1060,11.6,121.0,0.26,8.0,2.0,0.054,30.0,3.09,0.72,0.36,0.992
552,12.1,118.0,0.28,7.8,1.6,0.028,32.0,3.0,0.38,0.34,0.9901
1141,10.2,146.0,0.34,9.3,7.3,0.052,30.0,3.17,0.61,0.49,0.998
1743,9.3,169.0,0.3,8.3,10.0,0.042,33.0,3.23,0.51,0.36,0.9982
3660,13.0,115.0,0.32,5.8,4.3,0.032,46.0,3.16,0.57,0.28,0.98946
2131,9.6,158.0,0.22,7.1,16.9,0.056,49.0,3.37,0.38,0.32,0.9998
2113,9.9,93.0,0.33,5.7,1.9,0.05,20.0,3.38,0.62,0.15,0.9934
78,9.3,103.0,0.18,7.4,8.8,0.064,26.0,2.94,0.56,0.3,0.9961
3323,12.0,103.0,0.17,7.1,1.6,0.037,15.0,3.14,0.5,0.31,0.991
4853,11.4,77.0,0.25,5.2,1.4,0.047,20.0,3.32,0.62,0.23,0.99001
2821,9.9,241.0,0.4,6.6,6.2,0.056,42.0,3.5,0.6,0.46,0.9968
2349,9.5,184.0,0.46,7.9,10.1,0.168,19.0,3.06,0.62,0.4,0.99782
752,9.4,160.0,0.2,6.7,14.0,0.038,83.0,3.16,0.5,0.42,0.9987
488,10.5,180.0,0.29,7.4,1.6,0.045,53.0,3.34,0.68,0.29,0.9936
3473,12.6,97.0,0.3,6.5,4.0,0.038,37.0,3.2,0.6,0.27,0.99026
4868,10.8,124.0,0.23,5.8,4.5,0.046,42.0,3.31,0.64,0.31,0.99324
4080,9.8,116.0,0.25,5.7,10.8,0.05,58.0,3.1,0.5,0.27,0.99592
4363,9.5,136.0,0.31,7.1,11.2,0.048,32.0,3.14,0.4,0.25,0.99663
1645,10.5,149.0,0.24,7.5,9.4,0.048,50.0,3.17,0.59,0.49,0.9962
3921,10.2,173.0,0.36,7.3,14.8,0.057,46.0,3.14,0.57,0.34,0.99751
4126,10.0,147.0,0.18,6.3,5.6,0.047,45.0,3.09,0.54,0.22,0.99383
317,10.5,135.0,0.24,6.6,7.7,0.031,36.0,3.19,0.37,0.35,0.9938
2704,9.4,201.0,0.26,6.6,6.5,0.17,68.0,3.19,0.38,0.38,0.9956
4644,12.3,122.0,0.29,6.8,3.4,0.035,40.0,3.09,0.47,0.22,0.99024
4180,9.3,123.0,0.31,6.5,13.0,0.053,31.0,3.09,0.5,0.61,0.99708
4225,10.6,187.0,0.345,6.2,10.1,0.056,38.0,3.31,0.56,0.27,0.99486
3512,11.0,117.0,0.21,6.3,1.2,0.043,30.0,3.49,0.68,0.31,0.99158
2910,9.5,170.0,0.37,6.1,7.6,0.031,49.0,3.22,0.48,0.2,0.99558
1134,10.4,127.0,0.41,7.4,4.7,0.042,19.0,3.25,0.42,0.34,0.9953
4807,11.0,104.0,0.17,6.0,7.3,0.039,39.0,2.91,0.57,0.3,0.99252
4300,9.4,156.0,0.29,6.4,6.5,0.209,62.0,3.1,0.4,0.3,0.99478
230,8.9,142.0,0.64,6.8,9.7,0.062,26.0,3.37,0.46,0.08,0.9972
2738,9.3,131.0,0.615,6.9,12.0,0.067,24.0,3.19,0.34,0.42,0.99727
1584,9.2,209.0,0.25,6.4,7.8,0.045,52.0,3.21,0.42,0.74,0.9956
1210,10.5,59.0,0.28,9.2,1.0,0.042,14.0,2.96,0.25,0.41,0.9922
4283,11.0,93.0,0.2,6.0,6.8,0.049,22.0,3.15,0.42,0.26,0.9928
1099,14.0,120.0,0.29,5.8,2.6,0.025,12.0,3.39,0.79,0.21,0.9894
1835,9.3,213.0,0.55,8.0,12.6,0.211,37.0,2.99,0.56,0.42,0.9988
2393,9.6,136.0,0.17,6.4,1.5,0.093,43.0,3.25,0.49,0.34,0.9938
942,10.0,88.0,0.415,5.4,1.6,0.039,27.0,3.54,0.41,0.19,0.99265
1891,9.1,197.0,0.33,7.6,13.7,0.045,44.0,3.18,0.64,0.41,0.9989
487,10.7,90.0,0.34,6.6,1.3,0.035,32.0,3.1,0.42,0.28,0.9916
2416,10.1,220.0,0.16,7.0,6.85,0.047,30.0,3.38,0.58,0.26,0.99622
1253,12.2,165.0,0.25,7.3,1.8,0.037,52.0,3.29,0.39,0.41,0.9911
1463,11.0,137.0,0.19,8.3,1.2,0.051,11.0,3.06,0.46,0.49,0.9918
3078,12.1,91.0,0.28,7.1,3.5,0.028,35.0,2.96,0.33,0.35,0.99022
2390,10.7,130.0,0.28,7.0,1.7,0.042,34.0,3.43,0.5,0.26,0.9925
1107,12.6,87.0,0.37,7.2,2.0,0.029,27.0,3.3,0.59,0.15,0.9903
427,9.4,194.0,0.29,6.8,13.3,0.053,48.0,3.09,0.45,0.5,0.9974
4779,10.9,95.0,0.59,6.0,0.8,0.037,30.0,3.1,0.4,0.0,0.99032
1239,9.7,164.0,0.25,10.3,2.2,0.042,28.0,3.19,0.59,0.48,0.998
3270,10.2,115.0,0.15,6.4,1.8,0.044,21.0,3.1,0.38,0.29,0.99166
1959,10.1,91.0,0.17,8.5,1.0,0.024,13.0,2.79,0.37,0.31,0.993
2613,9.4,140.0,0.36,6.6,10.1,0.05,29.0,3.07,0.4,0.52,0.99628
4885,9.55,170.0,0.34,6.6,8.1,0.046,68.0,3.15,0.5,0.4,0.99494
1156,9.0,135.0,0.3,7.8,16.85,0.054,23.0,3.16,0.38,0.29,0.9998
807,9.6,204.0,0.29,6.2,13.1,0.046,55.0,3.16,0.41,0.26,0.99745
4623,12.6,125.0,0.4,6.6,5.3,0.038,20.0,3.36,0.73,0.3,0.99204
3057,12.7,114.0,0.27,7.2,5.4,0.026,27.0,3.13,0.84,0.37,0.99174
3942,11.1,106.0,0.23,7.2,1.5,0.053,26.0,3.18,0.47,0.39,0.99166
3443,11.4,106.0,0.16,6.0,1.6,0.042,36.0,3.24,0.32,0.22,0.9905
1345,12.7,113.0,0.39,7.3,1.1,0.043,36.0,3.39,0.48,0.37,0.991
2270,10.5,107.0,0.19,7.3,1.4,0.051,41.0,3.53,0.66,0.25,0.99382
851,9.4,166.0,0.38,8.2,13.6,0.042,58.0,3.1,0.54,0.49,0.99855
249,10.0,119.0,0.41,6.1,10.4,0.037,18.0,3.38,0.45,0.14,0.996
1630,11.4,121.0,0.25,6.9,1.8,0.053,6.0,3.23,0.7,0.24,0.993
2020,11.5,163.0,0.26,7.7,6.4,0.05,36.0,3.19,0.7,0.34,0.9937
1103,10.7,117.0,0.29,7.9,6.7,0.036,6.0,3.12,0.42,0.39,0.9938
2696,8.8,182.0,0.22,6.5,16.4,0.048,36.0,3.02,0.49,0.5,0.99904
386,10.8,115.0,0.17,5.0,1.5,0.026,24.0,3.48,0.39,0.56,0.9906
2234,9.7,90.0,0.23,7.2,6.1,0.067,20.0,3.17,0.79,0.38,0.99496
2468,10.1,77.0,0.16,5.2,0.8,0.029,26.0,3.25,0.51,0.34,0.99155
4742,10.8,133.0,0.27,6.0,3.6,0.035,36.0,3.23,0.46,0.32,0.99215
2382,10.4,107.0,0.15,6.9,4.4,0.029,14.0,3.24,0.46,0.28,0.99347
69,9.5,105.0,0.24,7.4,10.1,0.05,21.0,3.13,0.35,0.29,0.9962
2229,11.5,150.0,0.25,6.9,9.2,0.034,42.0,3.21,0.36,0.35,0.9947
975,9.2,111.0,0.3,7.6,4.3,0.054,22.0,3.12,0.49,0.25,0.9956
1179,9.4,109.0,0.2,7.2,4.5,0.044,31.0,3.23,0.36,0.25,0.9949
3171,12.0,87.0,0.2,7.3,2.3,0.048,24.0,2.94,0.35,0.39,0.99044
2611,9.4,219.0,0.3,6.5,7.8,0.038,61.0,3.19,0.5,0.39,0.9959
672,12.5,150.0,0.32,7.1,14.5,0.039,46.0,3.38,0.5,0.34,0.995
1574,10.5,108.0,0.17,8.5,8.8,0.048,23.0,2.88,0.34,0.49,0.9947
1870,10.3,163.0,0.19,6.3,1.8,0.049,35.0,3.31,0.5,0.21,0.9924
19,9.5,133.0,0.31,6.5,7.5,0.044,34.0,3.22,0.5,0.14,0.9955
124,9.8,158.0,0.13,6.4,1.6,0.092,40.0,3.21,0.36,0.47,0.9928
3412,10.1,157.0,0.24,6.8,9.5,0.042,56.0,3.11,0.51,0.29,0.99586
117,11.8,85.0,0.14,7.0,1.7,0.035,16.0,3.19,0.42,0.4,0.9911
4206,10.3,144.0,0.32,5.9,14.4,0.05,29.0,3.24,0.41,0.2,0.99666
399,11.7,83.0,0.19,6.4,2.9,0.032,32.0,3.3,0.41,0.42,0.9908
4210,9.8,134.0,0.17,6.0,6.0,0.05,26.0,3.08,0.54,0.21,0.9939
1593,10.5,63.0,0.16,8.6,7.3,0.043,9.0,3.13,0.59,0.49,0.9953
3927,11.5,106.0,0.22,6.5,3.9,0.046,17.0,3.15,0.31,0.31,0.99098
1260,9.2,236.0,0.23,6.4,7.1,0.037,63.0,3.06,0.34,0.3,0.9952
4594,12.9,129.0,0.42,5.8,2.2,0.035,26.0,3.32,0.47,0.3,0.989
1381,12.3,98.0,0.43,5.7,5.7,0.039,24.0,3.54,0.61,0.3,0.992
255,9.6,147.0,0.26,6.7,1.1,0.04,45.0,3.32,0.58,0.39,0.9935
1669,9.9,124.0,0.31,7.1,1.2,0.036,10.0,3.14,0.44,0.38,0.9924
1632,12.2,111.0,0.28,7.1,6.5,0.041,28.0,3.41,0.58,0.49,0.9926
2869,12.3,108.0,0.17,6.0,5.0,0.028,25.0,3.14,0.34,0.29,0.99076
1355,11.4,143.0,0.19,7.6,1.1,0.04,38.0,2.92,0.42,0.41,0.9907
3873,9.0,181.0,0.37,7.6,11.7,0.094,58.0,2.91,0.51,0.51,0.99776
407,9.4,125.0,0.49,6.9,1.2,0.049,13.0,3.17,0.51,0.24,0.9932
4812,11.4,113.0,0.26,5.1,1.1,0.027,46.0,3.35,0.43,0.33,0.98946
